tracking_number,payment_type,pickup_dt_ist,delivery_dt_ist,days_taken,shipment_weight,pickup_pincode,pickup_city,pickup_state,drop_pincode,drop_city,drop_state,delivery_attempts
390808808594,Prepaid,2020-03-03 16:19:00+05:30,2020-03-05 13:39:00+05:30,2,14.0,560048,Bangalore,KA,,Mumbai,MH,1
391018775697,COD,2020-03-11 16:39:00+05:30,2020-03-14 13:21:00+05:30,3,14.0,560048,Bangalore,KA,,Nagpur,MH,1
390948863631,COD,2020-03-09 15:12:00+05:30,2020-03-11 15:30:00+05:30,2,14.0,560048,Bangalore,KA,,Mumbai,MH,1
390767878200,Prepaid,2020-03-02 16:23:00+05:30,2020-03-03 17:36:00+05:30,1,14.0,560048,Bangalore,KA,,Bangalore,KA,1
390871721487,Prepaid,2020-03-05 19:20:00+05:30,2020-03-06 14:00:00+05:30,1,28.0,560048,Bangalore,KA,,Mysuru,KA,1
390871798135,Prepaid,2020-03-05 19:20:00+05:30,2020-03-09 18:30:00+05:30,4,14.0,560048,Bangalore,KA,,Mumbai,MH,1
390769051308,Prepaid,2020-03-02 16:23:00+05:30,2020-03-06 18:19:00+05:30,4,14.0,560048,Bangalore,KA,,Pune,MH,3
390948867394,Prepaid,2020-03-09 15:12:00+05:30,2020-03-12 12:30:00+05:30,3,14.0,560048,Bangalore,KA,,Vadodara,GJ,1
391080357350,Prepaid,2020-03-13 17:14:00+05:30,2020-03-16 16:40:00+05:30,3,14.0,560048,Bangalore,KA,,Mumbai,MH,1
390769041097,COD,2020-03-02 16:23:00+05:30,2020-03-05 16:20:00+05:30,3,14.0,560048,Bangalore,KA,,Nagpur,MH,1
390767756692,Prepaid,2020-03-02 16:23:00+05:30,2020-03-04 19:00:00+05:30,2,14.0,560048,Bangalore,KA,,Pune,MH,1
391128713604,COD,2020-03-16 15:44:00+05:30,2020-03-21 10:50:00+05:30,5,14.0,560048,Bangalore,KA,,New Delhi,DL,2
390767773927,Prepaid,2020-03-02 16:23:00+05:30,2020-03-04 13:00:00+05:30,2,14.0,560048,Bangalore,KA,,Mumbai,MH,1
390987545399,COD,2020-03-10 15:59:00+05:30,2020-03-12 14:55:00+05:30,2,14.0,560048,Bangalore,KA,,Hyderabad,TS,1
390871765957,COD,2020-03-05 19:20:00+05:30,2020-03-07 18:00:00+05:30,2,14.0,560048,Bangalore,KA,,Hyderabad,TS,1
